,id,name,designation,nasa_url,absolute_magnitude_h,dangerous,is_sentry_object,orbital_datafirst_observation_date,orbital_datalast_observation_date,orbital_dataobservations_used,orbital_datainclination,orbit class type,orbital_dataorbit_classorbit_class_description,diameter_km_min,diameter_km_max
0,2000433,Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.4,False,False,1893-10-29,2020-09-03,8767,10.83054121829922,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,22.1082810359,49.435619262
1,2000719,Albert,719,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000719,15.5,False,False,1911-10-04,2020-12-23,1878,11.56748450944226,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,2.1113244479,4.7210649881
2,2000887,Alinda,887,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000887,13.8,False,False,1918-02-03,2021-01-30,2049,9.393850619707097,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,4.6190746028,10.328564805
3,2001036,Ganymed,1036,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001036,9.4,False,False,1924-10-23,2021-01-30,6664,26.67764044274185,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,35.0392641108,78.3501764334
4,2001221,Amor,1221,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001221,17.7,False,False,1932-03-12,2020-09-14,552,11.87653980721408,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,0.7665755735,1.7141150923
5,2001566,Icarus,1566,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001566,16.9,True,False,1949-07-01,2020-09-08,1052,22.82210584381254,APO,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.1080388213,2.4776501261
6,2001580,Betulia,1580,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001580,14.7,False,False,1950-05-22,2021-01-18,1334,52.09207131550431,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,3.0517923259,6.824015094
7,2001620,Geographos,1620,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001620,15.3,True,False,1951-08-31,2020-04-17,4805,13.33704335138623,APO,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2.3150212221,5.176544822
8,2001627,Ivar,1627,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001627,12.7,False,False,1929-09-25,2020-06-22,7298,8.451869889021321,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,7.6657557353,17.1411509231
9,2001685,Toro,1685,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001685,14.3,False,False,1948-07-17,2021-01-29,3244,9.383132393569714,APO,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3.6690613753,8.2042706488
10,2001862,Apollo,1862,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001862,16.25,True,False,1930-12-13,2021-01-19,1712,6.354730724437444,APO,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.4947032424,3.3422580561
11,2001863,Antinous,1863,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001863,15.3,False,False,1948-03-05,2021-01-16,1044,18.40043382088493,APO,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2.3150212221,5.176544822
12,2001864,Daedalus,1864,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001864,14.7,False,False,1971-03-24,2020-06-12,2557,22.2119602234901,APO,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3.0517923259,6.824015094
13,2001865,Cerberus,1865,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001865,16.7,False,False,1971-10-26,2021-01-12,1996,16.09595516619598,APO,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,1.214940408,2.7166893409
14,2001866,Sisyphus,1866,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001866,12.4,False,False,1955-01-26,2021-01-07,4651,41.19928004878117,APO,Near-Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,8.801465209,19.6806745089
15,2001915,Quetzalcoatl,1915,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001915,18.97,False,False,1953-03-09,2004-10-09,51,20.40461297143561,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,0.4271249851,0.9550805015
16,2001916,Boreas,1916,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001916,14.8,False,False,1953-09-01,2020-12-21,1582,12.88010266119852,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,2.9144390453,6.5168838217
17,2001917,Cuyo,1917,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001917,14.3,False,False,1954-05-06,2020-09-26,2349,23.95916227254964,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,3.6690613753,8.2042706488
18,2001943,Anteros,1943,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001943,15.6,False,False,1973-03-10,2021-01-29,3656,8.706204864760755,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,2.0162991944,4.5085820617
19,2001980,Tezcatlipoca,1980,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2001980,13.8,False,False,1950-06-19,2021-01-21,3525,26.86722470137853,AMO,Near-Earth asteroid orbits similar to that of 1221 Amor,4.6190746028,10.328564805
