acr,company,delete,premarket%,premarket_price,premarket_vol,premarket_chg
SPCE, Virgin Galactic Holdings Inc.,$57.35 1.538M 3.56, 6.62%,$57.35,1.538M,3.56
AAPL, Apple Inc.,$136.02 1.465M 1.88, 1.40%,$136.02,1.465M,1.88
PFE, Pfizer Inc.,$36.10 1.280M 0.30, 0.84%,$36.10,1.280M,0.30
F, Ford Motor Co.,$11.13 1.117M 0.30, 2.77%,$11.13,1.117M,0.30
AAL, American Airlines Group Inc.,$17.02 1.033M 0.18, 1.07%,$17.02,1.033M,0.18
NWSA, News Corp Cl A,$19.53 574.13K 0.16, 0.83%,$19.53,574.13K,0.16
CCL, Carnival Corp.,$19.16 562.57K 0.36, 1.91%,$19.16,562.57K,0.36
TSLA, Tesla Inc.,$847.50 506.50K 7.69, 0.92%,$847.50,506.50K,7.69
LUMN, Lumen Technologies Inc.,$11.94 496.48K 0.17, 1.44%,$11.94,496.48K,0.17
GE, General Electric Co.,$10.84 400.79K 0.10, 0.93%,$10.84,400.79K,0.10
XOM, Exxon Mobil Corp.,$45.95 363.49K 1.03, 2.29%,$45.95,363.49K,1.03
HZNP, Horizon Therapeutics PLC,$83.45 342.36K 6.41, 8.32%,$83.45,342.36K,6.41
FCX, Freeport-McMoRan Inc.,$28.10 338.42K -0.13, -0.46%,$28.10,338.42K,-0.13
AMD, Advanced Micro Devices Inc.,$88.70 335.07K 1.04, 1.19%,$88.70,335.07K,1.04
BAC, Bank of America Corp.,$30.47 260.64K 0.51, 1.70%,$30.47,260.64K,0.51
OXY, Occidental Petroleum Corp.,$21.40 242.51K 1.01, 4.95%,$21.40,242.51K,1.01
MRO, Marathon Oil Corp.,$7.63 222.42K 0.29, 3.95%,$7.63,222.42K,0.29
MSFT, Microsoft Corp.,$241.40 210.38K 1.75, 0.73%,$241.40,210.38K,1.75
NCLH, Norwegian Cruise Line Holdings Ltd.,$22.72 202.93K 0.32, 1.43%,$22.72,202.93K,0.32
MRNA, Moderna Inc.,$158.83 193.09K 1.35, 0.86%,$158.83,193.09K,1.35
